"","Folder","Image Name","Origin","Accession #","Fossil/extant","Tooth Type","Side","Family","Tribe","Genus","Species","User ID","ML or BW"
"2708",NA,"IMG_1079","Amathole","15290","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2709",NA,"IMG_1086","Amathole","15293","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2710",NA,"IMG_1094","Amathole","15282","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2711",NA,"IMG_1107","Amathole","15284","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2712",NA,"IMG_1115","Amathole","15285","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2713",NA,"IMG_1123","Amathole","15287","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2714",NA,"IMG_1131","Amathole","15288","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2715",NA,"IMG_1139","Amathole","15291","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2716",NA,"IMG_1147","Amathole","15294","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2717",NA,"IMG_5069","FMNH","26962","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2718",NA,"IMG_5057","FMNH","26964","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2719",NA,"IMG_5045","FMNH","29654","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2720",NA,"IMG_5053","FMNH","29655","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2721",NA,"IMG_5007","FMNH","66874","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2722",NA,"IMG_5023","FMNH","66875","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2723",NA,"IMG_5014","FMNH","66987","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2724",NA,"IMG_5032","FMNH","127972","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2725",NA,"IMG_5039","FMNH","127975","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2726",NA,"DSCN3791","NMB","9319","Extant","LM2","R","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2727",NA,"DSCN3795","NMB","9752","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2728",NA,"DSCN5629","TM","12112","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
